tconst,primaryTitle,startYear,genres,averageRating,numVotes,posterUrl
tt0205167,Jonathan Ross Presents for One Week Only: David Lynch,1990,Documentary,7.1,94.0,https://image.tmdb.org/t/p/w500/utQApMEIk8BKltIFgOh1YJDBePV.jpg
tt0205314,Inside the Golden Statue,1998,Documentary,5.8,31.0,https://image.tmdb.org/t/p/w500/hD2xo96UYYwG1NJCbNDD29pXmCD.jpg
tt0218967,The Family Man,2000,"Comedy,Drama,Fantasy",6.8,125835.0,https://image.tmdb.org/t/p/w500/9wToOVsKuf0XeKhlauzCa3D8Gui.jpg
tt0221823,Bel Air,2000,"Comedy,Drama",7.2,61.0,https://image.tmdb.org/t/p/w500/7rpcBHmUXjUVgcphKxywGrDVWIJ.jpg
tt0238112,Captain Corelli's Mandolin,2001,"Drama,Music,Romance",5.9,36700.0,https://image.tmdb.org/t/p/w500/9YahF8HFypIKFTvOTiYzObA0hom.jpg
tt0238425,Most Unlikely Heroes,1996,Unknown,7.8,12.0,
tt0245562,Windtalkers,2002,"Action,Drama,War",6.1,75291.0,https://image.tmdb.org/t/p/w500/547q4HXlvEcS06lujfb2yzsTP3H.jpg
tt0246354,Very Important Pennis,1996,Comedy,7.8,216.0,https://image.tmdb.org/t/p/w500/bAHEh3H0rXii71sg0oaduysubGO.jpg
tt0259324,Ghost Rider,2007,"Action,Fantasy,Thriller",5.3,260124.0,https://image.tmdb.org/t/p/w500/d9Oan9XJJ6gRJa64Ifsgp1sXbC4.jpg
tt0259929,Christmas Carol: The Movie,2001,"Animation,Family,Fantasy",5.3,2281.0,https://image.tmdb.org/t/p/w500/38NCcPC1zJ6hzQYvzPor5uguvDs.jpg
tt0267588,Laura Dern,1999,"Biography,Documentary",7.1,111.0,
tt0268126,Adaptation.,2002,"Comedy,Drama",7.7,208314.0,https://image.tmdb.org/t/p/w500/ffEmHQAiD0m5dEQ6rlsuA9vlllW.jpg
tt0289992,The Life of David Gale,2003,"Crime,Drama,Mystery",7.5,129174.0,https://image.tmdb.org/t/p/w500/7tcAvE82JyxIi79cwQV5br90KVz.jpg
tt0291699,2001 ABC World Stunt Awards,2001,Family,6.3,41.0,
tt0305973,Sonny,2002,"Crime,Drama",5.6,4726.0,https://image.tmdb.org/t/p/w500/9Btip4jrDAxbAuDkEyPq8OkLbZw.jpg
tt0311292,Hollywood Salutes Nicolas Cage: An American Cinematheque Tribute,2002,Family,6.0,73.0,
