tconst,primaryTitle,startYear,genres,averageRating,numVotes,actors,posterUrl
tt0469641,World Trade Center,2006,"Drama,History,Thriller",6.0,89445.0,"Nicolas Cage, Michael Peña, Connor Paolo, Anthony Piccininni, Armando Riesco, Jay Hernandez",https://image.tmdb.org/t/p/w500/bfTiVc8kxq8uRXeblV3Ct35APGu.jpg
tt0479997,Season of the Witch,2011,"Action,Adventure,Fantasy",5.4,100364.0,"Nicolas Cage, Ron Perlman, Stephen Campbell Moore, Stephen Graham, Ulrich Thomsen, Robert Sheehan, Christopher Lee, Kevin Rees, Andrew Hefler",https://image.tmdb.org/t/p/w500/4nQBaHV58pIPFlLqhuf3vQur8og.jpg
tt0481499,The Croods,2013,"Adventure,Animation,Comedy",7.1,241064.0,"Nicolas Cage, Ryan Reynolds, Clark Duke, Chris Sanders, Randy Thom",https://image.tmdb.org/t/p/w500/27zvjVOtOi5ped1HSlJKNsKXkFH.jpg
tt0814022,Bangkok Dangerous,2008,"Action,Crime,Thriller",5.3,58937.0,"Nicolas Cage, Shahkrit Yamnarm, Nirattisai Kaljareuk, Dom Hetrakul, Tuck Napaskorn, Stephen Baldocchi, Chris Heebink, James With",https://image.tmdb.org/t/p/w500/iTRftxHW8i4H7ONaOiCIwEXjNDJ.jpg
tt0963966,The Sorcerer's Apprentice,2010,"Action,Adventure,Family",6.1,173161.0,"Nicolas Cage, Jay Baruchel, Alfred Molina, Toby Kebbell, Omar Benson Miller, Jake Cherry, James A. Stephens",https://image.tmdb.org/t/p/w500/kffWPQfYLkjsoYEBlFpzqVoTfCV.jpg
tt10690676,Dark,2017,"Drama,Thriller",6.0,546.0,"Nicolas Cage, Anton Yelchin",https://image.tmdb.org/t/p/w500/iu3CysiN4YQZkd2hCrMhcj2NARr.jpg
tt1071875,Ghost Rider: Spirit of Vengeance,2011,"Action,Fantasy,Thriller",4.3,129990.0,"Nicolas Cage, Nicolas Cage, Ciarán Hinds, Idris Elba, Johnny Whitworth, Fergus Riordan, Spencer Wilding, Sorin Tofan, Jacek Koman, Anthony Head",https://image.tmdb.org/t/p/w500/fUJOWsjjE8u1r4YOLYe1RLYy7bm.jpg
tt1095217,Bad Lieutenant: Port of Call New Orleans,2009,"Crime,Drama,Mystery",6.6,82804.0,"Nicolas Cage, Russell M. Haeuser, Val Kilmer, Xzibit, Shawn Hatosy, Tom Bower, Vondie Curtis-Hall",https://image.tmdb.org/t/p/w500/73jnKMm8bCcV1w2ltkaeJfLZJzX.jpg
tt11003218,Pig,2021,"Drama,Mystery",6.9,97994.0,"Nicolas Cage, Alex Wolff, Adam Arkin, Cassandra Violet, Elijah Ungvary, Brian Sutherland, David Shaughnessy",https://image.tmdb.org/t/p/w500/1InMm4Mbjx8wCKvIy5gglo5i3HN.jpg
tt11291274,The Unbearable Weight of Massive Talent,2022,"Action,Comedy,Crime",7.0,168850.0,"Nicolas Cage, Nicolas Cage, Pedro Pascal, Paco León, Neil Patrick Harris, Jacob Scipio",https://image.tmdb.org/t/p/w500/aqhLeieyTpTUKPOfZ3jzo2La0Mq.jpg
tt11358390,Renfield,2023,"Action,Comedy,Fantasy",6.4,110835.0,"Nicholas Hoult, Nicolas Cage, Ben Schwartz, Brandon Scott Jones, Adrian Martinez",https://image.tmdb.org/t/p/w500/p6yUjhvNGQpFZilKwOKbxQ1eHlo.jpg
tt1214962,Seeking Justice,2011,"Action,Drama,Mystery",6.1,48692.0,"Nicolas Cage, Guy Pearce, Harold Perrineau, Irone Singleton, Wayne Pére, Xander Berkeley, Marcus Lyle Brown, Dikran Tulaine",https://image.tmdb.org/t/p/w500/lN3O0j1DKVnwhO1h5J3utrmrBF2.jpg
tt12409886,Werewolf Women of the S.S.,2007,"Comedy,Horror,Short",7.3,1375.0,"Udo Kier, Tom Towles, Bill Moseley, Nicolas Cage, Michael Deak",https://image.tmdb.org/t/p/w500/44N8euKQDT4evzUX1Kr0NnsMiEr.jpg
tt1250777,Kick-Ass,2010,"Action,Comedy,Crime",7.6,607823.0,"Aaron Taylor-Johnson, Aaron Taylor-Johnson, Nicolas Cage, Nicolas Cage, Garrett M. Brown, Clark Duke, Evan Peters",https://image.tmdb.org/t/p/w500/iHMbrTHJwocsNvo5murCBw0CwTo.jpg
tt1274586,Dying of the Light,2014,"Action,Drama,Thriller",4.5,11885.0,"Nicolas Cage, Anton Yelchin, Alexander Karim, Tomiwa Edun, Aymen Hamdouchi, Claudius Peters, Robert G. Slade, Geff Francis, Silas Carson",https://image.tmdb.org/t/p/w500/gL6riNxQeyPXT5YsgqE2aWhl1zi.jpg
tt13060064,Highfire,Unknown,"Action,Adventure,Crime",,,Nicolas Cage,
tt13097724,Episode #1.1,Unknown,"Action,Adventure,Crime",,,Nicolas Cage,
tt1418311,Knowing,2009,Documentary,,,Nicolas Cage,https://image.tmdb.org/t/p/w500/OG0mxQt4YaNIWiz8EKJSHe9lPh.jpg
tt1462759,Butcher's Crossing,2022,"Adventure,Drama,Western",5.6,6249.0,"Nicolas Cage, Fred Hechinger, Jeremy Bobb, Paul Raci, Xander Berkeley, Beckett Hofstad, Duncan Vezain",https://image.tmdb.org/t/p/w500/2KdkRsYuzYPlJMLrV39gdjY3WkS.jpg
tt14827638,The Retirement Plan,2023,"Action,Comedy,Crime",5.1,9504.0,"Nicolas Cage, Ron Perlman, Jackie Earle Haley, Ernie Hudson, Joel David Moore, Jordan Johnson-Hinds",https://image.tmdb.org/t/p/w500/kv4n3xgRWtkldaD4kyy1FvpW6bO.jpg
tt1502404,Drive Angry,2011,"Action,Comedy,Fantasy",5.4,104990.0,"Nicolas Cage, William Fichtner, Billy Burke, David Morse, Todd Farmer, Tom Atkins, Jack McGee",https://image.tmdb.org/t/p/w500/g0hQNqLkPZC5wOnNhzUH0KvPda4.jpg
tt1552224,Outcast,2014,"Action,Adventure,Thriller",4.6,14599.0,"Nicolas Cage, Hayden Christensen, Alexandre Bailly, Bozhao Wang, Simon Chin, Fernando Chien, Paul Philip Clark, Jawed Berni",https://image.tmdb.org/t/p/w500/efsgCTlofzIuysfokEp7hwQnUho.jpg
tt16360004,Spider-Man: Beyond the Spider-Verse,2027,"Action,Adventure,Animation",,,"Shameik Moore, Brian Tyree Henry, Nicolas Cage, Jake Johnson, Oscar Isaac, Jason Schwartzman, Jason Schwartzman, Karan Soni, Karan Soni",https://image.tmdb.org/t/p/w500/rZ4arzyaDyI8l9Y7VIPPsDGARwh.jpg
tt1656186,Stolen,2012,"Action,Crime,Thriller",5.5,47026.0,"Nicolas Cage, Josh Lucas, Danny Huston, Edrick Browne, Mark Valley, Barry Shabaka Henley, M.C. Gainey, JD Evermore",https://image.tmdb.org/t/p/w500/8rTcpPiet2Lt2uZXBFIH5U7ylBY.jpg
tt1674784,Trespass,2011,"Crime,Drama,Mystery",5.3,46514.0,"Nicolas Cage, Cam Gigandet, Ben Mendelsohn, Dash Mihok, Nico Tortorella, Brandon Belknap",https://image.tmdb.org/t/p/w500/yP60huMcPTWOJfplRLi4FQAEQxX.jpg
tt2005374,The Frozen Ground,2013,"Biography,Crime,Drama",6.4,70540.0,"Nicolas Cage, John Cusack, Dean Norris, Robert Forgit, Brad William Henke, Michael McGrady, Ryan O'Nan",https://image.tmdb.org/t/p/w500/hHDj1h3lJvYd9Cervoswz9crhWg.jpg
tt2032572,USS Indianapolis: Men of Courage,2016,"Action,Drama,History",5.3,14880.0,"Nicolas Cage, Tom Sizemore, Thomas Jane, Matt Lanter, James Remar, Brian Presley, Yutaka Takeuchi, Johnny Wactor, Adam Scott Miller, Cody Walker",https://image.tmdb.org/t/p/w500/aREeJV7avhlLnCicVG3fBjXiaW1.jpg
tt21942866,Dream Scenario,2023,"Comedy,Drama,Fantasy",6.8,84019.0,"Nicolas Cage, David Klein, Kaleb Horn",https://image.tmdb.org/t/p/w500/2RSMu2iMDCdMKmvBWWvcmE8vjMj.jpg
tt21991654,Sympathy for the Devil,2023,"Action,Thriller",5.5,12545.0,"Nicolas Cage, Joel Kinnaman, Cameron Lee Price, Oliver McCallum, Burns Burns, Rich Hopkins, Nancy Good, Kaiwi Lyman",https://image.tmdb.org/t/p/w500/afGdVMa80LMs6ibLP22CwM5uI4e.jpg
tt22939186,Arcadian,2024,"Action,Drama,Horror",5.5,22657.0,"Nicolas Cage, Jaeden Martell, Maxwell Jenkins, Joe Dixon, Joel Gillman, Daire McMahon",https://image.tmdb.org/t/p/w500/h4T8Xeydkw53h9uIbulYsss25UF.jpg
